,Name,Acceleration,TopSpeed,Range,BatteryCapacity,Efficiency,FastChargeSpeed,Drive,NumberofSeats,price
30,Opel Corsa-e ,8.1,150,275,45.0,164,370,1,5,29000
31,MG ZS EV,8.2,140,220,42.5,193,260,1,5,31990
32,Volkswagen ID.3 Pro,9.6,160,350,58.0,166,440,2,5,34995
33,Volkswagen ID.3 Pro S,7.9,160,450,77.0,171,550,2,4,41995
34,Hyundai Kona Electric 64 kWh,7.9,167,395,64.0,162,370,1,5,41850
35,Renault Zoe ZE50 R135,9.5,140,310,52.0,168,230,1,5,33990
36,Peugeot e-2008 SUV ,8.5,150,250,45.0,180,330,1,5,35450
37,Audi e-tron 50 quattro,6.8,190,280,64.7,231,470,3,5,69100
38,Porsche Taycan Turbo,3.2,260,400,83.7,209,840,3,4,153016
42,Honda e Advance,8.3,145,170,28.5,168,190,2,4,38000
43,Byton M-Byte 72 kWh 2WD,7.5,190,325,72.0,222,420,2,5,53500
44,Byton M-Byte 95 kWh 4WD,5.5,190,390,95.0,244,460,3,5,64000
45,Renault Zoe ZE40 R110,11.4,135,255,41.0,161,230,1,5,29990
46,Porsche Taycan 4S,4.0,250,375,71.0,189,750,3,4,106487
47,Porsche Taycan 4S Plus,4.0,250,435,83.7,192,910,3,4,113008
48,Hyundai Kona Electric 39 kWh,9.9,155,250,39.2,157,210,1,5,34850
49,Mercedes EQV 300 Long,12.1,160,320,90.0,281,280,1,7,71388
50,Mazda MX-30 ,9.7,140,170,30.0,176,180,1,5,34490
51,Ford Mustang Mach-E SR RWD,6.9,180,345,68.0,197,380,2,5,46900
52,Ford Mustang Mach-E ER RWD,7.0,180,440,88.0,200,430,2,5,54475
53,Ford Mustang Mach-E SR AWD,6.3,180,330,68.0,206,360,3,5,54000
54,Ford Mustang Mach-E ER AWD,5.8,180,420,88.0,210,410,3,5,62900
55,Ford Mustang Mach-E GT,4.4,200,410,88.0,215,400,3,5,80670
56,Audi e-tron Sportback 50 quattro,6.8,190,295,64.7,219,490,3,5,71350
57,Tesla Cybertruck Single Motor,7.0,180,390,100.0,256,740,2,7,45000
58,Tesla Cybertruck Dual Motor,5.0,190,460,120.0,261,710,3,7,55000
59,Tesla Cybertruck Tri Motor,3.0,210,750,200.0,267,710,3,7,75000
60,Lexus UX 300e,7.5,160,260,50.0,192,150,1,5,47550
61,BMW i4 eDrive40,5.7,190,475,80.7,170,660,2,5,58300
62,Audi e-tron 55 quattro,5.7,200,365,86.5,237,590,3,5,85800
63,Aiways U5 ,7.5,150,335,63.0,188,350,1,5,35993
65,Audi e-tron S 55 quattro,4.5,210,320,86.5,270,510,3,5,93800
66,Audi e-tron S Sportback 55 quattro,4.5,210,335,86.5,258,540,3,5,96050
67,Volkswagen ID.4 1st,8.5,160,410,77.0,188,500,2,5,48960
68,Byton M-Byte 95 kWh 2WD,7.5,190,400,95.0,238,480,2,5,62000
69,Fiat 500e Cabrio,9.0,150,245,37.3,152,410,1,4,30560
70,Opel Mokka-e ,8.5,150,255,45.0,176,340,1,5,34110
71,Skoda Enyaq iV 60,8.7,160,330,58.0,176,420,2,5,38850
72,Skoda Enyaq iV 80,8.6,160,420,77.0,183,510,2,5,43950
73,Skoda Enyaq iV 80X,6.9,160,405,77.0,190,500,3,5,47000
74,Skoda Enyaq iV RS,6.2,180,395,77.0,195,480,3,5,50000
75,Fiat 500e Hatchback 42 kWh,9.0,150,250,37.3,149,420,1,4,27560
76,Citroen e-C4 ,9.7,150,250,45.0,180,330,1,5,34640
77,Jaguar I-Pace EV400,4.8,200,365,84.7,232,340,3,5,77300
78,Kia e-Soul 64 kWh,7.9,167,370,64.0,173,350,1,5,37790
79,Kia e-Soul 39 kWh,9.9,157,230,39.2,170,220,1,5,33990
80,Audi Q4 Sportback e-tron 35,9.0,160,295,51.5,175,410,2,5,43900
81,Nissan Ariya 63kWh,7.5,160,335,63.0,188,450,1,5,45000
82,Nissan Ariya 87kWh,7.6,160,445,87.0,196,530,1,5,50000
83,Nissan Ariya e-4ORCE 63kWh,5.9,200,325,63.0,194,440,3,5,50000
84,Nissan Ariya e-4ORCE 87kWh,5.7,200,420,87.0,207,500,3,5,57500
85,Nissan Ariya e-4ORCE 87kWh Performance,5.1,200,385,87.0,226,460,3,5,65000
86,Volkswagen ID.3 Pro Performance,7.3,160,350,58.0,166,440,2,5,36495
87,MG MG5 EV,7.7,185,295,48.8,165,340,1,5,30114
88,Volkswagen ID.4 Pro Performance,8.5,160,410,77.0,188,500,2,5,44450
89,Mercedes EQV 300 Extra-Long,12.1,160,320,90.0,281,280,1,7,72281
90,Lucid Air Grand Touring,3.2,270,660,110.0,167,1380,3,5,140000
91,Lucid Air Touring,3.4,250,530,85.0,160,1390,3,5,95000
92,Lucid Air Pure,4.2,200,540,85.0,157,1410,2,5,80000
93,Dacia Spring Electric,15.0,125,170,26.8,158,120,1,4,20490
94,Tesla Model 3 Standard Range Plus LFP,5.6,225,340,51.0,150,570,2,5,43560
95,Tesla Model 3 Long Range Dual Motor,4.4,233,455,70.0,154,570,3,5,58188
96,Tesla Model 3 Performance,3.3,261,470,76.0,162,790,3,5,58560
97,Fiat 500e Hatchback 24 kWh,9.5,135,165,23.8,144,260,1,4,23560
98,Fiat 500e 3+1,9.0,150,245,37.3,152,410,1,4,29560
99,Mercedes EQC 400 4MATIC,5.1,180,370,80.0,216,440,3,5,66069
100,Kia e-Niro 64 kWh,7.8,167,370,64.0,173,350,1,5,39090
101,Kia e-Niro 39 kWh,9.8,155,235,39.2,167,230,1,5,35290
102,Citroen e-SpaceTourer XS 50 kWh,12.1,130,185,45.0,243,250,1,7,50880
103,Citroen e-SpaceTourer M 50 kWh,12.1,130,185,45.0,243,250,1,7,51440
104,Citroen e-SpaceTourer XL 50 kWh,12.1,130,180,45.0,250,240,1,7,52230
105,Citroen e-SpaceTourer M 75 kWh,13.3,130,270,68.0,252,290,1,7,57440
106,Citroen e-SpaceTourer XL 75 kWh,13.3,130,270,68.0,252,290,1,7,58230
107,Opel Zafira-e Life S 50 kWh,12.1,130,185,45.0,243,250,1,7,56700
108,Opel Zafira-e Life M 50 kWh,12.1,130,185,45.0,243,250,1,7,53800
109,Opel Zafira-e Life L 50 kWh,12.1,130,180,45.0,250,240,1,7,54625
110,Opel Zafira-e Life M 75 kWh,13.3,130,270,68.0,252,290,1,7,59800
111,Opel Zafira-e Life L 75 kWh,13.3,130,270,68.0,252,290,1,7,60625
112,Peugeot e-Traveller Compact 50 kWh,12.1,130,185,45.0,243,250,1,7,50880
113,Peugeot e-Traveller Standard 50 kWh,13.1,130,185,45.0,243,250,1,7,55900
114,Peugeot e-Traveller Long 50 kWh,13.1,130,185,45.0,243,250,1,7,56690
115,Peugeot e-Traveller Standard 75 kWh,13.3,130,270,68.0,252,290,1,7,57440
116,Peugeot e-Traveller Long 75 kWh,13.3,130,270,68.0,252,290,1,7,58230
117,Audi e-tron 55 quattro,5.7,200,365,86.5,237,590,3,5,81500
118,Audi e-tron Sportback 55 quattro,5.7,200,375,86.5,231,600,3,5,83750
120,Hyundai IONIQ 5 Project 45,5.2,185,370,72.6,196,860,3,5,59550
121,Porsche Taycan ,5.4,230,395,71.0,180,790,2,4,83520
122,Porsche Taycan Plus,5.4,230,460,83.7,182,960,2,4,89244
123,Tesla Model S Long Range,3.2,250,555,90.0,162,830,3,5,86990
124,Tesla Model S Plaid,2.1,322,535,90.0,168,800,3,5,126990
125,Tesla Model X Long Range,3.9,250,475,90.0,189,710,3,7,95990
126,Tesla Model X Plaid,2.6,262,455,90.0,198,680,3,7,116990
127,Mini Cooper SE ,7.3,150,185,28.9,156,260,1,4,32500
129,Volkswagen ID.4 Pure Performance,9.0,160,285,52.0,182,410,2,5,38450
130,Audi e-tron GT quattro,4.1,245,420,85.0,202,840,3,4,99800
131,Volvo C40 Recharge,4.7,180,340,75.0,221,440,3,5,62050
132,Hyundai Kona Electric 39 kWh,9.9,155,250,39.2,157,210,1,5,35650
133,Hyundai Kona Electric 64 kWh,7.9,167,395,64.0,162,370,1,5,41850
134,Porsche Taycan 4S Cross Turismo,4.1,240,405,83.7,207,850,3,4,111842
135,Porsche Taycan Turbo Cross Turismo,3.3,250,385,83.7,217,800,3,4,154444
136,Porsche Taycan Turbo S Cross Turismo,2.9,250,380,83.7,220,790,3,4,187746
137,Kia EV6 GT,3.5,260,395,77.4,196,920,3,5,65990
138,BMW iX xDrive40,6.1,200,350,71.0,203,470,3,5,77300
139,BMW iX xDrive50,4.6,200,505,105.2,208,620,3,5,98000
140,MG MG5 Electric,8.3,180,340,57.0,168,440,1,5,35000
141,MG Marvel R Performance,4.9,200,330,65.0,197,380,3,5,50000
142,Hyundai IONIQ 5 Standard Range 2WD,8.5,185,310,58.0,187,720,2,5,41900
143,Hyundai IONIQ 5 Standard Range AWD,6.1,185,305,58.0,190,710,3,5,45700
144,Hyundai IONIQ 5 Long Range 2WD,7.4,185,385,72.6,189,890,2,5,45100
145,Hyundai IONIQ 5 Long Range AWD,5.2,185,375,72.6,194,870,3,5,48900
146,Kia EV6 Standard Range 2WD,8.5,185,320,58.0,181,740,2,5,44990
147,Kia EV6 Long Range 2WD,7.5,185,420,77.4,184,980,2,5,54990
148,Kia EV6 Long Range AWD,5.4,185,410,77.4,189,950,3,5,56000
149,Mercedes EQS 450+,6.2,210,640,107.8,168,840,2,5,106374
150,Mercedes EQS 580 4MATIC,4.3,210,610,107.8,177,800,3,5,135529
151,Tesla Model 3 Standard Range Plus,5.6,225,340,50.0,147,680,2,5,43560
152,Polestar 2 Standard Range Single Motor,7.4,160,350,61.0,174,450,1,5,46500
153,Polestar 2 Long Range Single Motor,7.4,160,425,75.0,176,550,1,5,49500
154,Polestar 2 Long Range Dual Motor,4.7,205,395,75.0,190,510,3,5,52500
155,Volkswagen ID.4 Pure,10.9,160,285,52.0,182,410,2,5,36950
156,Audi Q4 e-tron 40,8.5,160,405,76.6,189,500,2,5,47500
157,Audi Q4 e-tron 50 quattro,6.2,180,385,76.6,199,470,3,5,53600
158,Audi Q4 Sportback e-tron 50 quattro,6.2,180,400,76.6,192,490,3,5,55600
159,Mercedes EQB 350 4MATIC,6.5,160,340,66.5,196,400,3,7,60000
160,Volkswagen ID.4 GTX,6.2,180,400,77.0,193,490,3,5,50415
161,Mercedes EQA 300 4MATIC,7.7,160,350,66.5,190,420,3,5,53538
162,Mercedes EQA 350 4MATIC,6.0,160,350,66.5,190,420,3,5,56216
163,Toyota PROACE Verso M 50 kWh,12.1,130,185,45.0,243,250,1,7,58530
164,Toyota PROACE Verso L 50 kWh,12.1,130,180,45.0,250,240,1,7,59385
165,Toyota PROACE Verso M 75 kWh,13.1,130,270,68.0,252,290,1,7,64530
166,Toyota PROACE Verso L 75 kWh,13.1,130,270,68.0,252,290,1,7,65385
167,CUPRA Born 150 kW - 62 kWh,7.3,160,350,58.0,166,440,2,5,36770
168,CUPRA Born 170 kW - 62 kWh,6.6,160,345,58.0,168,430,2,5,39000
169,CUPRA Born 170 kW - 82 kWh,7.0,160,450,77.0,171,550,2,5,43000
170,BMW i4 M50,3.9,225,450,80.7,179,630,3,5,69900
171,Volvo XC40 Recharge Twin Pure Electric,4.9,180,340,75.0,221,440,3,5,59250
172,Renault Megane E-Tech Electric,8.0,160,335,60.0,179,480,1,5,38000
173,Peugeot e-Rifter Standard 50 kWh,11.7,135,200,45.0,225,270,1,7,37590
174,Peugeot e-Rifter Long 50 kWh,11.7,135,195,45.0,231,260,1,7,42590
175,MG Marvel R ,7.9,200,340,65.0,191,390,2,5,40000
176,Tesla Model 3 Long Range Dual Motor,4.4,233,490,76.0,155,820,3,5,53560
177,MG MG5 EV Long Range,7.7,185,340,57.0,168,340,1,5,31794
178,Audi Q4 e-tron 45 quattro,6.9,180,385,76.6,199,470,3,5,50900
179,Audi Q4 Sportback e-tron 40,8.5,160,425,76.6,180,520,2,5,49500
